,empty_rows,rows,num_ratio,dollar_count,Table
73,13,40,0.2826086956521739,6,1
74,13,74,0.4074074074074074,8,1
75,13,38,0.26666666666666666,6,1
76,13,42,0.31,6,1
77,13,41,0.27956989247311825,6,1
78,13,40,0.2777777777777778,6,1
79,13,38,0.25882352941176473,6,1
80,13,42,0.31313131313131315,6,1
81,13,40,0.26436781609195403,6,1
82,13,41,0.27956989247311825,6,1
83,13,41,0.2777777777777778,6,1
84,13,41,0.27956989247311825,6,1
85,23,58,0.04583333333333333,0,1
86,13,41,0.30526315789473685,6,1
87,13,39,0.1625,6,1
88,13,40,0.2857142857142857,6,1
89,13,42,0.31313131313131315,6,1
90,13,41,0.30526315789473685,6,1
91,13,42,0.3163265306122449,6,1
92,13,42,0.3076923076923077,6,1
93,13,40,0.2826086956521739,6,1
94,13,42,0.3,6,1
95,13,40,0.29545454545454547,6,1
96,12,75,0.4420289855072464,10,1
97,13,42,0.31683168316831684,6,1
98,14,45,0.3017241379310345,6,1
99,14,51,0.3357142857142857,6,1
100,13,35,0.17105263157894737,6,1
101,13,40,0.27586206896551724,6,1
102,12,37,0.2,6,1
103,11,31,0.4507042253521127,28,1
104,22,70,0.44715447154471544,48,1
105,38,97,0.47413793103448276,10,1
106,11,33,0.375,15,1
107,19,56,0.033783783783783786,1,1
108,14,38,0.42045454545454547,16,1
109,12,28,0.9259259259259259,24,1
110,10,58,0.5275229357798165,10,1
111,14,48,0.9644970414201184,18,1
112,10,39,0.39823008849557523,8,1
113,14,33,0.9384615384615385,12,1
114,16,66,0.31627906976744186,16,1
115,12,42,0.8823529411764706,24,1
116,16,93,0.5571428571428572,4,1
117,14,56,0.9834254143646409,6,1
118,25,80,0.25129533678756477,17,1
119,28,85,0.10775862068965517,0,1
120,24,71,0.21656050955414013,12,1
121,21,74,0.1440677966101695,4,1
122,25,82,0.18243243243243243,0,1
123,20,72,0.13333333333333333,2,1
124,23,78,0.13768115942028986,0,1
125,40,103,0.12605042016806722,4,1
126,25,70,0.1506849315068493,12,1
127,43,106,0.1796875,2,1
128,17,53,0.23529411764705882,11,1
129,18,60,0.13043478260869565,2,1
130,18,66,0.351931330472103,3,1
131,17,68,0.2119205298013245,12,1
132,33,100,0.23076923076923078,4,1
133,20,72,0.16822429906542055,2,1
134,21,88,0.21875,2,1
135,20,82,0.24806201550387597,2,1
136,16,59,0.21084337349397592,5,1
137,18,71,0.1810344827586207,0,1
138,19,84,0.22560975609756098,3,1
139,10,60,0.168141592920354,2,1
140,21,83,0.21019108280254778,2,1
141,38,146,0.37209302325581395,4,1
142,7,56,0.216,2,1
143,28,72,0.18787878787878787,4,1
144,23,77,0.2517985611510791,2,1
145,20,90,0.2774566473988439,1,1
146,15,52,0.17543859649122806,1,1
147,28,96,0.24528301886792453,1,1
148,26,79,0.3660130718954248,10,1
149,17,55,0.358974358974359,10,1
150,14,47,0.3671875,8,1
151,17,54,0.34459459459459457,10,1
152,42,117,0.07380952380952381,0,1
153,17,57,0.37575757575757573,10,1
154,17,52,0.31343283582089554,10,1
155,17,54,0.3356643356643357,10,1
156,17,53,0.35374149659863946,10,1
157,17,53,0.35374149659863946,10,1
158,17,50,0.29545454545454547,10,1
159,21,67,0.3082191780821918,10,1
160,17,55,0.3503184713375796,10,1
161,17,56,0.36024844720496896,8,1
162,17,54,0.3263888888888889,9,1
163,41,161,0.18861209964412812,3,1
164,17,50,0.2692307692307692,10,1
165,17,58,0.35,10,1
166,27,74,0.32142857142857145,8,1
167,17,51,0.3125,10,1
168,23,65,0.28688524590163933,8,1
169,17,54,0.33112582781456956,9,1
170,14,39,0.23595505617977527,10,1
